"Num";"Pi";"Es";"Pen_gr";"Azim_gr";"DistS_m";"Dia_cm";"Haut_m";"Etat";"Aspect";"Rem"
1;"p4";"ABAL";-11.9532967648778;188;2.22;17.9;15.4;1;0;""
2;"p4";"FASY";0;216.5;3.65;14.9;14.1;1;0;""
3;"p4";"ABAL";-0.636598552981651;212;3.93;16.5;14.6;1;0;""
4;"p4";"FASY";-6.97477609955284;201;11.13;23.9;17.8;1;0;""
5;"p4";"PIAB";-14.9952592008842;179;13.78;32.5;21.4;1;0;""
6;"p4";"ABAL";-17.9690655730917;172;15.55;30.5;19.7;1;0;""
7;"p4";"PIAB";-24.2237883181687;148.5;11.76;46;26.8;1;0;""
8;"p4";"FASY";-27.4471446975237;145;9.27;8.9;10.5;1;0;""
9;"p4";"ABAL";-17.9690655730917;175;5.55;28.1;18.4;1;0;""
10;"p4";"FASY";-29.0053933434437;114.5;8.42;8.8;10.6;1;0;""
11;"p4";"ABAL";-27.9705828050335;108.5;11.82;21.1;15.5;1;0;""
12;"p4";"ABAL";-27.4471446975237;137;11.44;16;12.5;1;0;""
13;"p4";"PIAB";-26.9197170199491;127.5;13.49;39;23.6;1;0;""
14;"p4";"FASY";-28.4900064714503;134.5;13.44;9.3;9.9;1;0;""
15;"p4";"FASY";-25.8530053445077;83.5;14.8;13;10.7;1;0;""
16;"p4";"ABAL";-25.3137841449797;74;13.16;8.8;8.2;1;0;""
17;"p4";"ABAL";-17.9690655730917;57.5;13.5;57;28.1;1;0;""
18;"p4";"ABAL";-14.0893149909109;41;13.17;42.8;13.2;4;0;"sec"
19;"p4";"FASY";-16.1935735533764;46;8.59;11.6;13.3;1;0;""
20;"p4";"FASY";-28.4900064714503;88;6.37;25;16.7;1;0;""
21;"p4";"FASY";-8.85512266035707;26;2.96;26.5;17.9;1;0;""
22;"p4";"FASY";-6.97477609955284;18;4.03;22.4;21.4;1;0;""
23;"p4";"ABAL";0;10;7.47;10.9;8.9;1;0;"n"
24;"p4";"ABAL";3.18045025123528;0;7.92;10.1;9.3;1;0;""
25;"p4";"FASY";8.85512266035707;1;14.47;23.7;18.9;1;0;""
26;"p4";"FASY";13.1775323566089;398;12.04;21.1;15;1;0;""
27;"p4";"FASY";12.5665916378002;396.5;11.95;13.4;5.7;2;0;"cc"
28;"p4";"FASY";16.1935735533764;389;10.53;27.4;19.6;1;0;""
29;"p4";"FASY";14.9952592008842;389;9.86;30.1;19.5;1;0;""
30;"p4";"FASY";13.7860205860008;392;9.68;15.6;11.6;1;0;""
31;"p4";"FASY";13.1775323566089;392.5;9.49;17;10.1;1;0;""
32;"p4";"FASY";32.9812668656926;305;5.67;11.9;9;1;0;""
33;"p4";"ABAL";29.0053933434437;279;10.27;29.1;16.2;1;0;""
34;"p4";"ABAL";23.1186566807902;260;12.64;21;9.3;4;0;"sec"
35;"p4";"FASY";21.9987515050277;259;14.8;26.8;19;1;0;""
36;"p4";"FASY";21.4333846879875;257.5;15.5;21.5;16;1;0;""
37;"p4";"ABAL";17.380273841343;252;11.38;10.5;9.1;1;0;""
38;"p4";"FASY";16.1935735533764;248;13.5;13.1;11.5;1;0;""
39;"p4";"FASY";15.5958260754739;246;11.7;17.1;13.5;1;0;""
40;"p4";"FASY";15.5958260754739;247;12.24;21.1;15.1;1;0;""
41;"p4";"FASY";16.1935735533764;249;12.23;21.7;15.6;1;0;""
42;"p4";"FASY";16.7884168026005;250;12.75;8.5;7.4;1;0;""
43;"p4";"FASY";15.5958260754739;255;7.61;8;3.9;2;0;"cc"
44;"p4";"FASY";27.2;320;15.1;14;8.4;1;0;"complement eric"
45;"p4";"FASY";22.6;362;16.1;22.6;18.4;1;0;"complement eric"
