"Id";"X";"Y";"PiquetRef";"Az_gr";"Pente_gr";"Dist_sol_m";"Borne"
"p1";897963.18;6454981.703;;;;;
"p2";898004.888;6454933.177;1;154;0;60;
"p3";897905.317;6454965.464;1;287.333333333333;0;60;
"p4";897982.137558558;6455035.3661046;1;420.666666666667;0;60;
"pt1";897963;6454981;;;;;
"pt2";898002.678711919;6454935.99333582;1;154;0;60;
"pt3";897904.183729523;6454969.14055958;1;287.333333333333;0;60;
"pt4";897982.137558558;6455037.8661046;1;420.666666666667;0;60;
"GSP1";897963.18;6454982.703;;;;;
"GSP2";898001.888;6454935.177;;;;;
"GSP3";897906.317;6454966.464;;;;;
"GSP4";897981.678;6455036.428;;;;;
