"Num";"Pi";"Es";"Azim_gr";"Pen_gr";"Dia_cm";"DistS_m";"Haut_m";"Etat";"Aspect";"Rem"
1;"p2";"FASY";394;0;24.9;1.89;18.2;1;0;""
2;"p2";"PIAB";122;20.8644813582728;9.7;1.46;9.3;1;0;""
3;"p2";"PIAB";131;18.5547158155485;14.7;3.35;13.2;1;0;""
4;"p2";"PIAB";95;21.9987515050277;23.7;5.08;17.8;1;0;""
5;"p2";"ABAL";111;22.5605263444005;21.1;7.63;14.8;1;0;""
6;"p2";"ABAL";85;21.4333846879875;11.1;7.83;8.3;1;0;""
7;"p2";"FASY";55;17.9690655730917;16.5;4.93;16.1;1;0;""
8;"p2";"PIAB";46;14.9952592008842;16.8;7.27;11.5;1;0;""
9;"p2";"FASY";36.5;13.7860205860008;15.5;10.33;13.1;1;0;""
10;"p2";"ABAL";19;10.1003076898026;45.9;10.34;22.2;1;0;""
11;"p2";"ABAL";13;6.34510348611071;20;12.43;18.3;1;0;""
12;"p2";"ABAL";16.5;7.60308156958993;18.5;13.94;11.8;1;0;""
13;"p2";"ABAL";3;1.27306982019456;11;14.04;8.9;1;0;""
14;"p2";"ABAL";1;0.636598552981651;11.9;14.79;10.2;1;0;""
15;"p2";"FASY";3;2.54512226959837;8.8;8.86;8.5;1;0;""
16;"p2";"PIAB";14.5;6.34510348611071;10.8;7.16;8.8;1;0;""
17;"p2";"ABAL";387.5;-1.27306982019456;31.3;8.33;19.9;1;0;""
18;"p2";"ABAL";380;-4.44908104523265;51.3;11.87;23.7;1;0;""
19;"p2";"PIAB";383;-3.81514484716725;26.5;13.85;17;1;0;""
20;"p2";"FASY";358;-11.3377485797019;10.3;10.45;14.7;1;0;""
21;"p2";"FASY";343;-14.9952592008842;11.6;12.29;15.7;1;0;""
22;"p2";"ABAL";342.5;-14.9952592008842;30.9;14.82;19.2;1;0;""
23;"p2";"FASY";321;-18.5547158155485;17;12.15;13.7;1;0;""
24;"p2";"ABAL";310.5;-19.1371513234794;53.7;12.27;26;1;0;""
25;"p2";"FASY";301;-19.1371513234794;29.6;14.81;20.7;1;0;""
26;"p2";"FASY";299;-19.7163018056188;10.8;15.64;8.9;1;0;""
27;"p2";"FASY";272;-19.1371513234794;14.7;12.75;13.3;1;0;""
28;"p2";"ABAL";264;-18.5547158155485;11.3;11.87;7.3;1;0;""
29;"p2";"SOAR";265;-18.5547158155485;14.5;13.48;12.4;1;1;"pe"
30;"p2";"ABAL";259;-16.7884168026005;28.2;13.44;17.9;1;0;""
31;"p2";"FASY";254;-16.1935735533764;10.9;9.22;11.2;1;0;""
32;"p2";"FASY";252;-15.5958260754739;11.4;9.18;14.2;1;0;""
33;"p2";"FASY";251.5;-14.9952592008842;13.2;9.3;14.4;1;0;""
34;"p2";"FASY";240;-11.9532967648778;15.8;9.72;14.3;1;0;""
35;"p2";"ABAL";239;-12.5665916378002;7.6;10.96;4.1;2;0;"cc"
