"Num";"Pi";"Es";"Azim_gr";"Pen_gr";"DistS_m";"Dia_cm";"Haut_m";"Etat";"Aspect";"Rem"
380;"p3";"PIAB";204;10;5.51;13.7;8.4;1;0;""
381;"p3";"PIAB";213;11;6.02;19.7;12.7;1;0;""
382;"p3";"ABAL";208;13.5;10.2;25.9;21;1;0;""
383;"p3";"ABAL";225.5;12;12.58;8.8;8.9;1;0;""
384;"p3";"PIAB";226.5;12;11.6;11.8;11.2;1;0;""
385;"p3";"PIAB";230;11.5;12.19;23.2;16.8;1;0;""
386;"p3";"FASY";232;11;12.7;8.5;14.7;1;0;""
387;"p3";"PIAB";231.5;11;8.68;26.3;17.7;1;0;""
388;"p3";"PIAB";231;10;7.62;28.3;20.8;1;0;""
389;"p3";"PIAB";241;8;9.81;12.1;9.3;1;0;""
390;"p3";"PIAB";246.5;7.5;10.456;29.5;20.2;1;0;""
391;"p3";"PIAB";258;6;10.85;25.8;19.9;1;0;""
392;"p3";"PIAB";265;3;13.66;14.8;15.3;1;0;""
393;"p3";"PIAB";256;5;14.82;18.5;17.9;1;0;""
394;"p3";"ABAL";262;1;6.02;27.1;22;1;0;""
395;"p3";"FASY";223;9;4.51;13.2;14.9;1;0;""
396;"p3";"PIAB";272;-1;6.54;14.4;10.2;4;0;"sec"
397;"p3";"PIAB";274;0;8.39;15.2;15.9;1;0;""
398;"p3";"FASY";278;0;8.71;24.2;20;1;0;""
399;"p3";"PIAB";279;0;10.66;21.3;18.4;1;0;""
400;"p3";"PIAB";276;0;13.47;11.1;10.1;1;0;""
401;"p3";"ABAL";271;2;14.76;30.5;21;1;0;""
402;"p3";"PIAB";283;-1.5;13.49;11.3;10;1;0;""
403;"p3";"FASY";287.5;-3;13.47;15.3;15.1;1;0;""
404;"p3";"FASY";296;-4;12.41;14.9;19;1;0;""
405;"p3";"PIAB";306;-8.5;11.7;14;13;1;0;""
406;"p3";"ABAL";307;-8.5;11.91;10;7;1;0;""
407;"p3";"FASY";309.5;-9;11.5;11.5;16.6;1;0;""
408;"p3";"FASY";312;-9;14.13;10.4;13.3;1;0;""
409;"p3";"PIAB";310.5;-9;14.36;15.8;13.9;1;0;""
410;"p3";"PIAB";313;-9;12.78;8;9.5;4;0;"sec"
411;"p3";"PIAB";316;-10.5;12.13;9.1;7.4;1;0;""
412;"p3";"PIAB";323.5;-11;13.41;18.9;13.2;1;0;""
413;"p3";"FASY";318;-10;15.08;17.6;18.5;1;0;""
414;"p3";"FASY";330;-13;11.54;15.4;12.1;1;1;"penche"
415;"p3";"PIAB";314;-11;10.52;14.8;3;4;0;"chandelle"
416;"p3";"FASY";332;-13.5;9.74;9.6;14.9;1;0;""
417;"p3";"FASY";338;-14;10.93;21.6;21.5;1;0;""
418;"p3";"ABAL";333;-13.5;14.33;13.6;13.5;1;0;""
419;"p3";"PIAB";340;-14;8.91;28.2;23;1;0;""
420;"p3";"FASY";350;-15;5.71;9.5;14.3;1;0;""
421;"p3";"ABAL";342;-8;4.22;59.4;26;1;0;""
422;"p3";"PIAB";380;-9;3.03;8.2;4.9;1;0;""
423;"p3";"PIAB";366;-15;6.93;25.7;20.3;1;0;""
424;"p3";"FASY";390;-12;9.1;22.3;17.8;1;0;""
425;"p3";"ABAL";390;-13;10.9;12;8.3;1;0;""
426;"p3";"FASY";398;-10;9.67;11.1;15.5;1;0;""
427;"p3";"FASY";8;-6;7.07;15.3;19.3;1;0;""
428;"p3";"FASY";9.5;-4;6.46;21.5;20.3;1;0;""
429;"p3";"FASY";13;-7;9.64;9.8;10.7;1;0;""
430;"p3";"PIAB";15;-4.5;13.18;19.4;16.2;1;0;""
431;"p3";"PIAB";22;-4;12.62;13.4;13;1;0;""
432;"p3";"ABAL";29;-2;12.38;10.6;10.5;1;0;""
433;"p3";"ABAL";29;-2;13.84;30;21.4;1;0;""
434;"p3";"PIAB";37;0;11.06;20;18.6;1;0;""
435;"p3";"ABAL";43;1.5;10.52;15.6;14.3;1;0;""
436;"p3";"PIAB";39;0;8.91;21;19.2;1;0;""
437;"p3";"PIAB";32;-1;9.01;27.8;21;1;0;""
438;"p3";"FASY";20;3;8.2;10.2;10.9;1;0;""
439;"p3";"FASY";22;-5;5.38;13;7.4;1;1;"penche"
440;"p3";"PIAB";21;-5;5.6;37.4;22.5;1;0;""
441;"p3";"PIAB";68;4.5;6.17;24;19.6;1;0;""
442;"p3";"FASY";80;7;5.47;8.8;14.2;1;0;""
443;"p3";"ABAL";87;11;7.98;15.7;14.2;1;0;""
444;"p3";"FASY";76;10;11.47;21;19.3;1;0;""
445;"p3";"FASY";76.5;10;11.68;11.6;18.2;1;0;""
446;"p3";"PIAB";51;3.5;10.79;29.8;20.3;1;0;""
447;"p3";"FASY";65;9;12.58;14.8;19.9;1;0;""
448;"p3";"FASY";50;0;1.49;8.5;19;1;0;""
449;"p3";"PIAB";70;2.5;2.2;14;11.3;1;0;""
450;"p3";"ABAL";103;9;3.53;44.7;24.5;1;0;""
451;"p3";"PIAB";94;11;7.8;12.3;14.2;1;0;""
452;"p3";"FASY";102;8;10.82;15.8;15.6;1;0;"ce11"
453;"p3";"FASY";102;8;11.42;27.4;22.6;1;0;"ce11"
454;"p3";"FASY";85;10;13.24;14.7;15.2;1;0;""
455;"p3";"FASY";89;12;15.11;10.7;17;1;0;""
456;"p3";"PIAB";76;10;14.53;16;9.7;1;0;""
457;"p3";"PIAB";73;9.5;12.47;7.8;5.8;1;0;""
458;"p3";"PIAB";109;12.5;13.05;11.2;10.5;1;0;""
459;"p3";"FASY";111.5;13;15.12;22.2;21.2;1;0;""
460;"p3";"PIAB";119;12.5;11.49;12.8;10.9;1;1;"penche"
461;"p3";"ABAL";130;13;12.16;16;13.4;4;0;"sec"
462;"p3";"FASY";129;13;15.22;19.5;21.6;1;0;""
463;"p3";"PIAB";131;12.5;10.54;8.8;7.4;3;0;"sec avec branches"
464;"p3";"ABAL";133;13;9.31;10.2;5.2;3;0;"sec avec branches"
465;"p3";"ABAL";140.5;14;8.07;39.1;22;1;0;""
466;"p3";"FASY";151;14;6.93;9.4;13.5;1;0;""
467;"p3";"FASY";147;14.5;6.71;14;15.8;1;0;""
468;"p3";"PIAB";141;14.5;5.16;8.6;8.2;1;0;""
469;"p3";"FASY";180.5;13.5;7.36;10;11.5;1;0;""
470;"p3";"PIAB";176;13.5;9.23;8.7;7;1;0;""
471;"p3";"PIAB";170.5;14;11.65;10.6;7.6;1;0;""
472;"p3";"PIAB";154;14.5;11.9;22.5;21.7;1;0;""
473;"p3";"ABAL";147.5;15;11.52;40.3;22.9;1;0;""
474;"p3";"PIAB";148;14.5;13.26;21;21;1;0;""
475;"p3";"ABAL";146.5;14.5;14.66;8.5;5.3;1;0;""
476;"p3";"PIAB";171.5;14.5;13.15;19;17.2;1;0;""
477;"p3";"PIAB";178;14.5;11.22;26.8;20;1;0;""
478;"p3";"PIAB";184;14;11.69;12.1;10.4;1;0;""
479;"p3";"PIAB";182;15;13.49;26.3;21.1;1;0;""
480;"p3";"FASY";188;16;14.35;14.3;15.3;1;0;""
