"Num";"Pi";"Es";"Azim_gr";"Pen_gr";"Dia_cm";"DistS_m";"Haut_m";"Etat";"Aspect";"Rem"
86;"p2";"FASY";101;-17.5;39.1;1.5;22.7;1;0;""
87;"p2";"FASY";96;-23;10.4;7.97;9.9;1;0;""
88;"p2";"FASY";109;-22;21.3;9.92;11.6;2;0;"cc"
89;"p2";"FASY";110;-23;10.5;11.9;14.2;1;0;""
90;"p2";"FASY";109;-23;9;12.12;12;1;0;""
91;"p2";"PIAB";126;-23;45.8;13.88;28.6;1;0;""
92;"p2";"PIAB";57.5;-10;30.5;11.4;19.5;2;0;"cc"
93;"p2";"ACPS";53;-14;7.8;9.58;5.1;1;1;"p"
94;"p2";"ABAL";42.5;-10;7.9;8.18;3.8;1;0;""
95;"p2";"ABAL";41.5;-6;32.6;9.31;16.5;1;0;""
96;"p2";"ABAL";27.5;-2.5;7.5;12.91;4.1;1;0;""
97;"p2";"PIAB";26;-2;42.6;13.96;28;1;0;""
98;"p2";"FASY";9;6;29;13.1;15.3;1;1;"p"
99;"p2";"PIAB";17;6;41;5.84;25.1;1;0;""
100;"p2";"FASY";372;10;17;7.62;13.8;1;0;""
101;"p2";"FASY";393;13;14.8;10.83;10.2;1;0;""
102;"p2";"FASY";395;13;14.2;11;10.9;1;0;""
103;"p2";"ABAL";379;16;64.4;11.35;32.7;1;0;""
104;"p2";"FASY";342;20;39.5;12.58;19.4;1;1;"p"
105;"p2";"FASY";342.5;17.5;11.5;11.25;7;1;0;""
106;"p2";"FASY";320;22;17.5;12.7;12.7;1;0;""
107;"p2";"PIAB";314;23;40.2;14.09;22.8;1;0;""
108;"p2";"ABAL";317;22.5;39.1;15.1;26.6;1;0;""
109;"p2";"ACPS";310;22.5;20.4;14.16;13.3;1;0;""
110;"p2";"FASY";298;24;14.5;12.86;6;1;0;""
111;"p2";"PIAB";259.5;21.5;35.4;9.15;10.1;4;0;"chandelld"
112;"p2";"PIAB";256;11.24;12;13.5;5.8;3;0;"sec-dist_estimee"
113;"p2";"PIAB";226.5;8;13;8.68;4.1;1;0;""
114;"p2";"ABAL";225.5;11;44.3;6.07;20.6;1;1;"p"
115;"p2";"PIAB";219;6;43;9.67;24.5;1;0;""
116;"p2";"ACPS";232.5;9;20.3;14.22;16.8;1;0;"ce1"
117;"p2";"ACPS";231.5;8.5;25.6;14.68;8.4;2;1;"ce1"
118;"p2";"ACPS";233;8.5;19.8;14.9;14.9;1;0;"ce1"
119;"p2";"ACPS";235.5;10;19.5;15.11;14.2;1;0;"ce1"
120;"p2";"ABAL";185;0;49;2.73;22.9;1;0;""
121;"p2";"PIAB";178;-8;14.5;5.49;9.8;1;0;""
122;"p2";"ACPS";169;-13;18;5.58;10.6;1;0;""
123;"p2";"ACPS";166.5;-12;27;6.09;16.1;1;0;"ce2"
124;"p2";"ACPS";162;-12.5;18.5;6.33;8.4;2;0;"ce2"
125;"p2";"ACPS";157.5;-14;20.4;5.6;16.5;1;0;"ce2"
126;"p2";"ACPS";156;-16.5;9.4;5.36;8;1;0;"ce2"
127;"p2";"ABAL";329;23;29.2;1.94;12.4;1;0;""
128;"p2";"ABAL";330.5;14;8.5;8.47;6;1;0;""
