"Num";"Pi";"Es";"Azim_gr";"Pen_gr";"Dia_cm";"DistS_m";"Haut_m";"Etat";"Aspect";"Rem"
143;"p4";"FASY";22;-12.14;9.04000076761965;3.5;;1;0;"28.4"
144;"p4";"ABAL";25;-15.6;64.5532449180728;7.4;;1;0;"202.8"
145;"p4";"FASY";33;-18.4;13.9101420262317;7.2;;1;0;"43.7"
146;"p4";"ACPS";43;-18;18.0800015352393;3.6;;1;0;"56.8"
147;"p4";"ABAL";55;-18;23.7140865206924;2.1;;1;0;"74.5"
148;"p4";"FASY";63;-22.7;8.27605704077856;6.6;;1;0;"26"
149;"p4";"FASY";66;-30.7;7.83042320012125;13.4;;1;0;"24.6"
150;"p4";"FASY";69;-30.3;8.75352187005424;13.4;;1;0;"27.5ce1"
151;"p4";"FASY";75.5;-30.6;8.18056407492342;12.3;;1;0;"25.7ce1"
152;"p4";"FASY";76.5;-31.4;8.84901483590938;13.1;;1;0;"27.8ce1"
153;"p4";"ABAL";85;-26;17.5070437401085;8.2;;1;0;"55"
154;"p4";"ABAL";107;-22;34.3138057306126;4.1;;1;0;"107.8"
155;"p4";"ACPS";116;-24.2;31.0352139029196;6.6;;1;0;"97.5"
156;"p4";"ABAL";104;-25;22.759156862141;11.4;;1;0;"71.5"
157;"p4";"SOAU";113.5;-26.8;11.3318319481429;13.8;;1;0;"35.6"
158;"p4";"ABAL";127;-21.6;18.4619733986599;8.1;;1;0;"58"
159;"p4";"ABAL";130;-23;28.9343686541066;9.7;;1;0;"90.9"
160;"p4";"ABAL";135;-23.2;26.9608473597671;5.9;;1;0;"84.7"
161;"p4";"ABAL";147;-21.1;11.3000009595246;3.6;;1;0;"35.5"
162;"p4";"ACPS";141.5;-23;8.75352187005424;4.5;;1;0;"27.5"
163;"p4";"FASY";155;-18;18.9394382279355;4.8;;1;0;"59.5"
164;"p4";"FASY";152;-19.2;17.8253536262923;13.4;;1;0;"56"
165;"p4";"FASY";195.5;1.6;9.70845152860562;7.52;;1;0;"30.5"
166;"p4";"FASY";197;1.6;25.783100780887;8.1;;1;0;"81"
167;"p4";"ACPS";215;6.7;7.57577529117422;9.5;;1;0;"23.8"
168;"p4";"ABAL";227;17.4;43.162820566522;7.7;;1;0;"135.6"
169;"p4";"FASY";232.5;14.5;8.75352187005424;9.7;;1;0;"27.5"
170;"p4";"ABAL";218;7.6;11.7774657888003;14.6;;3;0;"37mort"
171;"p4";"FASY";231;17.6;19.5123960230664;14;;1;0;"61.3"
172;"p4";"FASY";241;20.4;18.7484522962253;11.4;;1;0;"58.9"
173;"p4";"FASY";246.5;30;17.8571846149107;3.8;;1;0;"56.1ce2"
174;"p4";"FASY";239;29.7;10.7907051416305;4;;1;0;"33.9ce2"
175;"p4";"ACPS";261.5;27.3;22.1543680783918;7.5;;1;0;"69.6"
176;"p4";"FASY";272;28.5;18.2073254897128;9.2;;1;0;"57.2"
177;"p4";"ABAL";284;30.3;38.6746511713306;12.7;;1;0;"121.5"
178;"p4";"FASY";303.5;29.6;18.3664804328047;14;;1;0;"57.7"
179;"p4";"FASY";315.5;28.6;8.40338099525207;11;;1;0;"26.4ce3"
180;"p4";"FASY";314;30.6;22.4408469759572;10.5;;1;0;"70.5ce3"
181;"p4";"FASY";330;27.5;21.1039454539853;11.6;;1;0;"66.3"
182;"p4";"ACPS";353;20.9;17.7616916490555;5.6;;1;0;"55.8"
183;"p4";"FASY";363;16.6;10.8861981074856;2.7;;1;0;"34.2"
184;"p4";"PIAB";382;10.1;40.9028203746171;3.5;;1;0;"128.5"
185;"p4";"ABAL";397;2.1;16.5839450701755;2.2;;1;0;"52.1"
186;"p4";"ABAL";366;18.5;46.6323983259253;15.1;;1;0;"146.5"
187;"p4";"ABAL";388;5.5;12.1912686408392;13.5;;1;0;"38.3"
188;"p4";"ABAL";392;2.5;8.33971901801532;13.9;;1;0;"26.2"
189;"p4";"ABAL";398.5;-0.1;30.0166222671315;9.5;;1;0;"94.3"
