"Num";"Pi";"Es";"Pen_gr";"Azim_gr";"DistS_m";"Dia_cm";"Haut_m";"Etat";"Aspect";"Rem"
89;"p1";"FASY";-14.9;176;4.3;19.8;16.7;1;0;""
90;"p1";"FASY";-12;185.5;5.4;16.2;17;1;0;""
91;"p1";"ABAL";-17.1;165.5;8.2;19.9;13.8;1;0;""
92;"p1";"ABAL";-24.1;150;10.2;10.8;8.6;1;0;""
93;"p1";"ABAL";-23.1;157;13.6;63.2;28.3;1;0;""
94;"p1";"ABAL";-22.3;161;15.9;9.3;6.4;1;0;""
95;"p1";"PIAB";-20.5;166.5;14.9;13.3;8.1;1;0;""
96;"p1";"ABAL";-16.9;171;9.8;39.9;23.3;1;0;""
97;"p1";"ABAL";-13.1;183;9.8;26.2;20.3;1;0;""
98;"p1";"ABAL";-11.7;191;12.5;29.7;17.7;1;0;""
99;"p1";"FASY";-5.4;205.5;11.6;13.9;13.8;1;0;""
100;"p1";"ABAL";-5.1;208;9.5;9.2;6.9;1;0;""
101;"p1";"ABAL";-10.1;192;8.5;35.3;21.7;1;0;""
102;"p1";"PIAB";-1.8;211;4.2;15.2;13.4;1;0;""
103;"p1";"FASY";14.3;251;4;12.6;12.7;1;0;""
104;"p1";"ABAL";4.4;226.5;9.2;9.8;7.4;1;0;""
105;"p1";"ABAL";8.1;235;9.8;20.2;14.6;1;0;""
106;"p1";"ABAL";10.6;242;9.1;10;6.9;4;0;"sec"
107;"p1";"FASY";5.9;233.5;13.9;17;10.7;1;0;""
108;"p1";"FASY";4.3;230;14.6;15.1;9.6;1;1;"penche"
109;"p1";"ABAL";13.9;251.5;13.1;20.9;17.4;1;0;""
110;"p1";"FASY";16.7;257;13.2;17.6;14.1;1;0;"ce1"
111;"p1";"FASY";15.9;257;13.6;18;15.5;1;0;"ce1"
112;"p1";"ABAL";15.9;257;14.23;19.4;16.6;1;0;""
113;"p1";"ABAL";13.9;252;11.36;17.4;13.4;1;0;""
114;"p1";"FASY";20.8;272.5;14.3;16.8;14.1;1;0;""
115;"p1";"PIAB";23;279.5;10.3;9.3;7.1;1;0;""
116;"p1";"PIAB";23;279.5;7.9;26.3;12;1;0;""
117;"p1";"FASY";25.7;291;9.2;23.4;14.2;1;0;""
118;"p1";"ABAL";25;291;15.7;24.7;14.4;1;0;""
119;"p1";"ABAL";27.5;340;14.1;7.9;6.2;1;0;""
120;"p1";"FASY";28;338.5;15.1;21.8;12.2;1;0;"ce3"
121;"p1";"FASY";28.9;337;15.3;21.3;10.7;1;0;"ce3"
122;"p1";"FASY";28.3;337;15.6;18.5;12.1;1;0;""
123;"p1";"ABAL";27;345;16.4;14.6;9.7;1;0;""
124;"p1";"FASY";26.3;318.5;5.5;9.6;7.1;1;1;"penche"
125;"p1";"ABAL";28.5;335;2.4;8.2;7.1;1;0;""
126;"p1";"ABAL";30.8;332;4.4;55.7;23.8;1;0;""
127;"p1";"FASY";20.6;374.5;3;8;14.1;1;1;"penche"
128;"p1";"ABAL";13.6;389;5.4;14.8;13.8;1;0;""
129;"p1";"ABAL";14;392;8.46;26.3;19.1;1;0;""
130;"p1";"ABAL";17;380.5;10.5;9.1;6.1;1;0;""
131;"p1";"ABAL";15.1;385;14.5;8.3;6.4;1;0;""
132;"p1";"PIAB";17.5;383;11.9;7.7;6.3;1;0;""
133;"p1";"ABAL";7.7;4;8.9;21;17.7;1;0;""
134;"p1";"ABAL";6.8;6.5;9.7;37;22.7;1;0;""
135;"p1";"ABAL";8.5;2;13.8;36.4;17.9;1;0;""
136;"p1";"ABAL";2.1;15.5;10.6;22.3;16.8;1;0;""
137;"p1";"ABAL";4.4;14;6.8;27;18.3;1;0;""
138;"p1";"PIAB";-5.1;36;2.4;27.9;18.9;1;0;""
139;"p1";"ABAL";-5.2;41.5;3.2;12.6;12.1;1;0;""
140;"p1";"ABAL";-6.6;37;5.5;18.5;17.4;1;0;""
141;"p1";"FASY";-5.5;34.5;8;14;12.3;1;0;""
142;"p1";"PIAB";-2.2;24;13.9;13.8;11.8;1;0;""
143;"p1";"PIAB";-7.3;38;12.8;9;7.1;4;0;"sec"
144;"p1";"ACPS";-8.8;45;10.7;27;14.9;1;0;""
145;"p1";"FASY";-9.9;45;13.1;8.3;5.8;2;0;"cc"
146;"p1";"FASY";-11.8;53;9.2;22.8;13.5;1;0;""
147;"p1";"FASY";-18;78.5;6.3;13.4;14;1;0;""
148;"p1";"FASY";-18;80;5.45;11.8;8.7;1;0;""
149;"p1";"FASY";-14;70;3.21;23.3;18.9;1;0;""
150;"p1";"PIAB";-14;80;2.77;19.7;14;1;0;""
151;"p1";"ABAL";-17.8;64;14;18.5;14.6;1;0;""
152;"p1";"FASY";-18.1;66;13.9;18.8;15.7;1;0;""
153;"p1";"ABAL";-21.3;83;10.7;31.8;18.2;1;0;"a 2 cimes"
154;"p1";"ABAL";-23.1;90;12.8;17.6;17.2;1;0;""
155;"p1";"ABAL";-25;99.5;14.1;18.1;16.2;1;0;""
156;"p1";"ABAL";-26.5;106;14;19.8;15;1;0;""
157;"p1";"ABAL";-26;110;11.3;16.4;13.7;1;0;""
158;"p1";"ABAL";-27;119;10.6;9.6;9.6;1;0;""
159;"p1";"ABAL";-26.3;128.5;11;21.5;14.8;1;0;""
160;"p1";"ACPS";-27.1;116;8;7.7;8.8;1;0;""
161;"p1";"ABAL";-26.3;122;6.9;9.1;9;1;0;""
162;"p1";"FASY";-24;122;5.58;16.3;13.5;1;0;""
