"Num";"Pi";"Es";"Azim_gr";"Pen_gr";"Dia_cm";"DistS_m";"Haut_m";"Etat";"Aspect";"Rem"
264;"p2";"PIAB";279;24;10.7;4.33;7.8;1;0;""
265;"p2";"FREX";288;27;7.7;7.36;8.4;1;0;""
266;"p2";"PISY";286;27;24;8.07;21.3;1;0;""
267;"p2";"ULsp";282;26;21.5;11.77;18;3;0;"sec avec branches"
268;"p2";"ABAL";291;27;12.5;13.03;12.4;1;0;""
269;"p2";"PISY";282;26;34.6;15.86;21;1;0;""
270;"p2";"PIAB";291;27;16.4;15.08;15.9;1;0;""
271;"p2";"PIAB";296;27;15.2;12.89;12.6;1;0;""
272;"p2";"PIAB";304.5;27;11.7;12;7.4;1;0;""
273;"p2";"PISY";310.5;27;35.2;13.63;16.6;1;0;""
274;"p2";"FREX";307;27;11.9;11.36;11.2;4;0;"sec"
275;"p2";"PIAB";313;25;8.5;11.41;4.9;1;0;""
276;"p2";"PIAB";304;25;8.8;4.09;8;1;0;""
277;"p2";"ULsp";336;16;11.1;2.05;18.3;4;0;"mort"
278;"p2";"ULsp";343;16;13.5;1.96;10;4;0;"mort"
279;"p2";"PISY";380;6;45.5;1.98;20.7;1;0;""
280;"p2";"PISY";357;16;35.2;3.71;22.2;1;0;""
281;"p2";"PIAB";346;19;14.3;4.49;13.9;1;0;""
282;"p2";"PIAB";326.5;25;11.8;5.75;10.6;1;0;""
283;"p2";"ACPS";333.5;23;20.5;9.14;15.5;1;0;""
284;"p2";"ABAL";331;23.5;13.2;10.2;12.3;1;0;""
285;"p2";"FASY";321.5;25;7.8;14.36;9.6;1;0;""
286;"p2";"PISY";322.5;25;24.1;14.46;11.4;1;0;""
287;"p2";"PISY";340;22;35.9;13.89;20;1;0;""
288;"p2";"ACPS";348;19;9.1;13.92;14.3;1;0;""
289;"p2";"PISY";350;18.5;41.5;13.8;16.7;1;0;""
290;"p2";"PIAB";364.5;13;13.2;7.59;12;1;0;""
291;"p2";"FASY";359;16;8;9.2;12.2;1;0;""
292;"p2";"PISY";364;14;34.8;9.06;19.4;1;0;""
293;"p2";"PISY";362;14.5;16.4;14.66;9.5;4;0;"sec"
294;"p2";"FASY";363;14;8.2;14.89;10.3;1;0;""
295;"p2";"FASY";363;14;11.1;15.04;10.9;1;0;""
296;"p2";"PISY";385;5;21.7;10.79;18.3;1;0;""
297;"p2";"SOAR";384.5;5;8.3;12.44;10.2;1;0;""
