"Num";"Pi";"Es";"Azim_gr";"Pen_gr";"DistS_m";"Dia_cm";"Haut_m";"Etat";"Aspect";"Rem"
88;"p1";"ABAL";85;4;1.23;18.4;13;1;0;""
89;"p1";"PIAB";60;-2;4.18;24.5;17.6;1;0;""
90;"p1";"FASY";70;-2;5.69;11.3;16.6;1;0;""
91;"p1";"PIAB";59.5;-5;6.56;11.2;8.4;3;0;"sec avec branches"
92;"p1";"FASY";47;-6;7.33;17.8;20.7;1;0;""
93;"p1";"PIAB";41;-7;10.84;16.9;12.6;1;0;""
94;"p1";"FASY";35;-7.5;10.93;20.8;19.4;1;0;""
95;"p1";"ACOP";49;-7;13.17;16.7;16;1;0;""
96;"p1";"FASY";56.5;-6;13.84;15;19.5;1;0;""
97;"p1";"FASY";73;-4;12.76;9.7;12.5;1;1;"penche"
98;"p1";"PIAB";75;-4;12.41;24.8;18.9;1;0;""
99;"p1";"FASY";77;-4;12.23;13;16;1;1;"penche"
100;"p1";"PIAB";77;-3;9.43;25.9;18.5;1;0;""
101;"p1";"FASY";70;-4;9.06;16.2;14.2;1;0;"ce1"
102;"p1";"FASY";68;-4;9.01;15.4;13.7;1;0;"ce1"
103;"p1";"PIAB";74;-3;7.84;22.1;17.3;1;0;""
104;"p1";"PIAB";91;3.5;7.45;14.1;12.5;1;0;""
105;"p1";"FASY";87;-1;9.86;11.2;16.9;1;0;"ce2"
106;"p1";"FASY";86;-1;10.09;8.9;12.8;1;1;"ce2-penche"
107;"p1";"PIAB";90;0;12.22;26.4;19.5;1;0;""
108;"p1";"PIAB";91.5;0;13.78;10.7;5.4;1;0;""
109;"p1";"ABAL";95;0;13.63;9.5;7.6;1;0;""
110;"p1";"PIAB";100.5;2.5;14.8;10.7;7.5;1;0;""
111;"p1";"FASY";105;3;13.93;8.4;11.9;1;1;"penche"
112;"p1";"ABAL";112;5;11.43;42.3;22.9;1;0;""
113;"p1";"FASY";95;2;9.52;22.9;19.6;1;0;""
114;"p1";"ABAL";126;7;5.69;14;11.8;1;0;""
115;"p1";"PIAB";139;10;5.81;11.7;12.7;1;0;""
116;"p1";"FASY";129;7.5;8.41;17.3;18.1;1;0;"ce3"
117;"p1";"FASY";130;7.5;8.4;10.3;18.3;1;1;"ce3-penche"
118;"p1";"PIAB";132;10;9.6;14.5;14.4;1;0;""
119;"p1";"ABAL";137;10;10.45;10.8;9.2;1;0;""
120;"p1";"FASY";142;10.5;12.52;9.2;16.4;1;1;"penche"
121;"p1";"ABAL";152;13;10.57;38.2;20.4;1;0;""
122;"p1";"PIAB";161;14.5;13;23.5;17.9;1;0;""
123;"p1";"ABAL";164.5;13.5;12.88;13.5;11;1;0;""
124;"p1";"FASY";168;14;13.33;15.6;19.5;1;1;"penche"
125;"p1";"FASY";169;14;14.95;10.7;13.3;1;0;""
126;"p1";"PIAB";175.5;14;14.84;19.1;15.2;1;0;""
127;"p1";"ACPS";188;13.5;14.32;10.6;15.4;1;0;""
128;"p1";"ABAL";182;14;10.76;10.3;8.6;1;0;""
129;"p1";"FASY";179;14;11.42;9.7;15;1;0;""
130;"p1";"FASY";174.5;14;11.82;9.8;14.3;1;0;""
131;"p1";"FASY";169;14;10.8;25.1;19.5;1;0;""
132;"p1";"FASY";171;14;10.24;15.7;16.8;1;0;""
133;"p1";"FASY";179;14;6;16.8;18.4;1;0;""
134;"p1";"PIAB";168;13.5;6.1;14.4;10.4;4;0;"sec"
135;"p1";"FASY";147;12;4.3;19.8;18.3;1;0;""
136;"p1";"FASY";173;15;2.75;27.8;22.4;1;0;""
137;"p1";"PIAB";205;16;2.92;23;16.4;1;0;""
138;"p1";"FASY";205;16;3.3;10.1;11.4;1;1;"penche"
139;"p1";"PIAB";198.5;15;4.49;24.8;18;1;0;""
140;"p1";"FASY";199;12;7.7;7.9;11.8;1;0;""
141;"p1";"PIAB";199;12;7.95;8.3;6.5;1;0;""
142;"p1";"PIAB";201;12;8.7;21.6;9.7;4;0;"sec"
143;"p1";"PIAB";195;13;9.28;23.4;16.1;1;0;""
144;"p1";"FASY";202;12;11.56;17.1;15.7;1;0;"ce4"
145;"p1";"FASY";203;12;11.11;13;13.9;1;0;"ce4"
146;"p1";"PIAB";201;13.5;15.12;30.2;17.6;1;0;""
147;"p1";"PIAB";214;12;13.42;20.5;13.6;3;0;"sec avec branches"
148;"p1";"FASY";217;11.5;14.68;8.3;10.2;1;0;""
149;"p1";"PIAB";220;10;14.63;26.3;15.7;1;0;""
150;"p1";"FASY";218;10.5;12.89;12.6;15;1;0;""
151;"p1";"FASY";230;9;11.35;11.7;15.6;1;0;""
152;"p1";"FASY";225;10;10.66;14.7;15.6;1;0;""
153;"p1";"ABAL";225;10;10.51;8.1;6.3;1;0;""
