"Num";"Pi";"Es";"Azim_gr";"Pen_gr";"Dia_cm";"DistS_m";"Haut_m";"Etat";"Aspect";"Rem"
130;"p4";"FASY";63;-6;22;5.15;15.5;1;0;""
131;"p4";"ACPS";80;-10;10.5;5.1;11.4;1;0;""
132;"p4";"ABAL";52.5;-7.5;13;5.77;7.3;1;0;""
133;"p4";"FASY";23.5;-9;7.5;4.54;7;1;0;""
134;"p4";"ABAL";39;-17;69.3;13.35;30.6;1;0;""
135;"p4";"FASY";60;-15;7.5;11.78;8;1;0;""
136;"p4";"ABAL";2;-7;16;10.32;9.9;1;0;""
137;"p4";"ABAL";395;-4;14;11.57;10.8;1;0;""
138;"p4";"FASY";394.5;-3.5;16.2;8.91;12.4;1;0;""
139;"p4";"ABAL";0;-7;7.8;7.33;5;1;0;""
140;"p4";"FASY";395;-7;12;6.93;10.6;1;0;""
141;"p4";"FASY";392.5;-7;21.3;6.73;23.9;1;0;""
142;"p4";"PIAB";388;-3;63;7.64;33.4;1;0;""
143;"p4";"PIAB";360;4;43.8;5.62;26.4;3;0;"sec"
144;"p4";"FASY";366;2;11.5;8.22;8;1;0;""
145;"p4";"FASY";367;2;25.4;9.33;17.3;1;0;""
146;"p4";"SOAR";378;-3;13.5;14.72;8.6;1;0;""
147;"p4";"SOAR";384;-3;9.5;14;4;1;0;""
148;"p4";"ABAL";357;3;60;13.47;27.8;1;0;""
149;"p4";"FASY";351;4.5;21;9.52;21;1;0;""
150;"p4";"FASY";347;5;14.7;9.07;16.1;1;0;""
151;"p4";"FASY";337.5;5;27;11.71;23.2;1;0;""
152;"p4";"FASY";334;7;22.5;12.2;8.3;4;0;"chan"
153;"p4";"FASY";314.5;10;26;11.73;20.7;1;0;""
154;"p4";"ABAL";298.5;15;30.8;12.17;22;1;0;""
155;"p4";"PIAB";298;16;38;13.05;22.1;1;0;"azimut estime"
156;"p4";"FASY";305;12;24.3;14.53;16;1;0;""
157;"p4";"SOAU";268.5;18.5;12.3;6.3;12.7;1;0;""
158;"p4";"PIAB";326;26;51;3.66;30.6;1;0;""
159;"p4";"PIAB";274;23;62;2.62;29.9;1;0;""
160;"p4";"FASY";299;22;16.8;1.4;15.5;1;0;""
161;"p4";"FASY";318;16;8;2;4.5;1;0;""
162;"p4";"ABAL";252.5;16;11.8;3.14;8.6;1;0;""
163;"p4";"FASY";180;4;11.2;4.14;8.6;1;0;""
164;"p4";"FASY";175.5;2;24.3;4.46;13.2;1;0;""
165;"p4";"FASY";174.5;2;17;5.09;17.6;1;0;""
166;"p4";"ABAL";185;5;9.8;7.83;7.1;1;0;""
167;"p4";"ABAL";189;6;11.4;9.38;9.6;1;0;""
168;"p4";"ABAL";194.5;7;28;10.6;20.2;1;0;""
169;"p4";"FASY";171;4;9.3;9.5;11;1;1;"p"
170;"p4";"ABAL";171.5;4;29.5;9.59;16.8;1;0;""
171;"p4";"PIAB";163;2;15.8;14.79;6.5;2;0;"cc"
172;"p4";"ACPS";123;-5;18.3;14.42;20.2;1;0;""
173;"p4";"FASY";117.5;-6.5;12.2;12.96;5.4;2;0;"cc"
174;"p4";"FASY";115;-7;33.5;12.8;22.4;1;0;""
175;"p4";"ACPS";102;-9;28.5;13.27;21.3;1;0;""
