"tfv_code","label_fr","species_class","context_key","confidence","alt_context_key","notes_fr","label_key"
"FF0","Forêt fermée sans couvert arboré",,,"clear",,"Coupe rase ou incident — non échantillonnable.","FORÊT-FERMÉE-SANS-COUVERT-ARBORÉ"
"FF1-00","Forêt fermée de feuillus purs en îlots","essence_feuillus_pionniers","futaie_reguliere_feuillue","clear","tsf_melange_futaie_taillis","Îlots feuillus — structure dépend des essences dominantes.","FORÊT-FERMÉE-DE-FEUILLUS-PURS-EN-ÎLOTS"
"FF1G01-01","Forêt fermée de chênes décidus purs","essence_chenaie","futaie_reguliere_feuillue","clear",,"Chênaie sessile / pédonculée équienne.","FORÊT-FERMÉE-DE-CHÊNES-DÉCIDUS-PURS"
"FF1G06-06","Forêt fermée de chênes sempervirents purs","essence_chene_vert","tsf_melange_futaie_taillis","clear","taillis_simple","Chêne vert / liège : fréquemment conduit en taillis ou TSF.","FORÊT-FERMÉE-DE-CHÊNES-SEMPERVIRENTS-PURS"
"FF1-09-09","Forêt fermée de hêtre pur","essence_hetraie","futaie_reguliere_feuillue","clear",,"Hêtraie équienne.","FORÊT-FERMÉE-DE-HÊTRE-PUR"
"FF1-10-10","Forêt fermée de châtaignier pur","essence_chataigneraie","taillis_simple","clear","tsf_melange_futaie_taillis","Châtaigneraie presque toujours conduite en taillis.","FORÊT-FERMÉE-DE-CHÂTAIGNIER-PUR"
"FF1-14-14","Forêt fermée de robinier pur","essence_feuillus_pionniers","taillis_simple","clear",,"Robinier quasi systématiquement conduit en taillis.","FORÊT-FERMÉE-DE-ROBINIER-PUR"
"FF1-49-49","Forêt fermée d'un autre feuillu pur","essence_feuillus_pionniers","futaie_reguliere_feuillue","clear","tsf_melange_futaie_taillis","Catégorie fourre-tout feuillus : valider par l'essence.","FORÊT-FERMÉE-D'UN-AUTRE-FEUILLU-PUR"
"FF1-00-00","Forêt fermée à mélange de feuillus","essence_feuillus_pionniers","futaie_irreguliere","clear","tsf_melange_futaie_taillis","Mélange feuillus : souvent TSF, parfois futaie irrégulière.","FORÊT-FERMÉE-À-MÉLANGE-DE-FEUILLUS"
"FF2-00","Forêt fermée de conifères purs en îlots","essence_mixte","futaie_reguliere_resineuse","clear",,"Îlots résineux, généralement plantation.","FORÊT-FERMÉE-DE-CONIFÈRES-PURS-EN-ÎLOTS"
"FF2-51-51","Forêt fermée de pin maritime pur","essence_pinede","futaie_reguliere_resineuse","clear",,"Plantation landaise.","FORÊT-FERMÉE-DE-PIN-MARITIME-PUR"
"FF2-52-52","Forêt fermée de pin sylvestre pur","essence_pinede","futaie_reguliere_resineuse","clear",,"Pinède équienne.","FORÊT-FERMÉE-DE-PIN-SYLVESTRE-PUR"
"FF2G53-53","Forêt fermée de pin laricio ou pin noir pur","essence_pinede","futaie_reguliere_resineuse","clear",,"Plantations équiennes.","FORÊT-FERMÉE-DE-PIN-LARICIO-OU-PIN-NOIR-PUR"
"FF2-57-57","Forêt fermée de pin d'Alep pur","essence_pinede","futaie_reguliere_resineuse","clear",,"Pin d'Alep méditerranéen.","FORÊT-FERMÉE-DE-PIN-D'ALEP-PUR"
"FF2G58-58","Forêt fermée de pin à crochets ou pin cembro pur","essence_pinede","futaie_reguliere_resineuse","clear","futaie_irreguliere","Subalpin : structure souvent irrégulière.","FORÊT-FERMÉE-DE-PIN-À-CROCHETS-OU-PIN-CEMBRO-PUR"
"FF2-81-81","Forêt fermée d'un autre pin pur","essence_pinede","futaie_reguliere_resineuse","clear",,"Catégorie générique pins purs.","FORÊT-FERMÉE-D'UN-AUTRE-PIN-PUR"
"FF2-80-80","Forêt fermée à mélange de pins purs","essence_pinede","futaie_reguliere_resineuse","clear",,"Mélange pins, équienne en général.","FORÊT-FERMÉE-À-MÉLANGE-DE-PINS-PURS"
"FF2G61-61","Forêt fermée de sapin ou épicéa","essence_pessiere_sapiniere","futaie_reguliere_resineuse","clear","futaie_irreguliere","Sapinière-pessière : souvent irrégulière en montagne.","FORÊT-FERMÉE-DE-SAPIN-OU-ÉPICÉA"
"FF2-63-63","Forêt fermée de mélèze pur","essence_melezin","futaie_reguliere_resineuse","clear",,"Mélézin équien.","FORÊT-FERMÉE-DE-MÉLÈZE-PUR"
"FF2-64-64","Forêt fermée de douglas pur","essence_douglasaie","futaie_reguliere_resineuse","clear",,"Plantation Douglas.","FORÊT-FERMÉE-DE-DOUGLAS-PUR"
"FF2-91-91","Forêt fermée d'un autre conifère pur autre que pin","essence_mixte","futaie_reguliere_resineuse","clear",,"Catégorie générique conifères purs.","FORÊT-FERMÉE-D'UN-AUTRE-CONIFÈRE-PUR-AUTRE-QUE-PIN"
"FF2-90-90","Forêt fermée à mélange d'autres conifères","essence_mixte","futaie_reguliere_resineuse","clear",,"Mélanges résineux (hors pins).","FORÊT-FERMÉE-À-MÉLANGE-D'AUTRES-CONIFÈRES"
"FF2-00-00","Forêt fermée à mélange de conifères","essence_mixte","futaie_reguliere_resineuse","clear",,"Mélange résineux, équienne.","FORÊT-FERMÉE-À-MÉLANGE-DE-CONIFÈRES"
"FF31","Forêt fermée à mélange de feuillus prépondérants et conifères","essence_mixte","futaie_irreguliere","clear",,"Mélange vertical feuillus / résineux.","FORÊT-FERMÉE-À-MÉLANGE-DE-FEUILLUS-PRÉPONDÉRANTS-ET-CONIFÈRES"
"FF32","Forêt fermée à mélange de conifères prépondérants et feuillus","essence_mixte","futaie_irreguliere","clear",,"Mélange vertical résineux / feuillus.","FORÊT-FERMÉE-À-MÉLANGE-DE-CONIFÈRES-PRÉPONDÉRANTS-ET-FEUILLUS"
"FO0","Forêt ouverte sans couvert arboré",,,"clear",,"Hors couvert — non échantillonnable.","FORÊT-OUVERTE-SANS-COUVERT-ARBORÉ"
"FO1","Forêt ouverte de feuillus purs","essence_feuillus_pionniers","futaie_irreguliere","clear","taillis_simple","Forêt ouverte : défaut pragmatique vers l'irrégulière.","FORÊT-OUVERTE-DE-FEUILLUS-PURS"
"FO2","Forêt ouverte de conifères purs","essence_mixte","futaie_irreguliere","clear","futaie_reguliere_resineuse","Forêt ouverte résineuse : structure rarement régulière stricte.","FORÊT-OUVERTE-DE-CONIFÈRES-PURS"
"FO3","Forêt ouverte à mélange de feuillus et conifères","essence_mixte","futaie_irreguliere","clear",,"Forêt ouverte mixte.","FORÊT-OUVERTE-À-MÉLANGE-DE-FEUILLUS-ET-CONIFÈRES"
"FP","Peupleraie","essence_peupleraie","futaie_reguliere_feuillue","clear",,"Populiculture : plantation strictement équienne.","PEUPLERAIE"
"LA4","Lande",,,"clear",,"Hors forêt.","LANDE"
"LA6","Formation herbacée",,,"clear",,"Hors forêt.","FORMATION-HERBACÉE"
