niveau,ser,greco,espar,n_plac_presence,n_plac_maille,prelev_ha_an_present,prelev_ha_an_maille,taux_presence,libelle_essence,millesime,source
greco,,A,02,139,4545,7.6421,0.2337,0.0306,Chêne pédonculé,2005-2024,"IGN IFN donnees brutes 2005-2024, Licence Ouverte Etalab v2.0 ; VEGET5==6 (coupe vidange) / 5 ans"
greco,,A,03,107,4545,9.7286,0.229,0.0235,Chêne sessile,2005-2024,"IGN IFN donnees brutes 2005-2024, Licence Ouverte Etalab v2.0 ; VEGET5==6 (coupe vidange) / 5 ans"
greco,,A,04,8,4545,5.0618,0.0089,0.0018,Chêne rouge,2005-2024,"IGN IFN donnees brutes 2005-2024, Licence Ouverte Etalab v2.0 ; VEGET5==6 (coupe vidange) / 5 ans"
greco,,A,07,3,4545,2.4615,0.0016,7e-04,Chêne tauzin,2005-2024,"IGN IFN donnees brutes 2005-2024, Licence Ouverte Etalab v2.0 ; VEGET5==6 (coupe vidange) / 5 ans"
greco,,A,09,99,4545,8.4369,0.1838,0.0218,Hêtre,2005-2024,"IGN IFN donnees brutes 2005-2024, Licence Ouverte Etalab v2.0 ; VEGET5==6 (coupe vidange) / 5 ans"
greco,,A,10,124,4545,7.8591,0.2144,0.0273,Châtaignier,2005-2024,"IGN IFN donnees brutes 2005-2024, Licence Ouverte Etalab v2.0 ; VEGET5==6 (coupe vidange) / 5 ans"
greco,,A,11,13,4545,2.6432,0.0076,0.0029,Charme,2005-2024,"IGN IFN donnees brutes 2005-2024, Licence Ouverte Etalab v2.0 ; VEGET5==6 (coupe vidange) / 5 ans"
greco,,A,12P,6,4545,3.9978,0.0053,0.0013,Bouleau pubescent,2005-2024,"IGN IFN donnees brutes 2005-2024, Licence Ouverte Etalab v2.0 ; VEGET5==6 (coupe vidange) / 5 ans"
greco,,A,12V,60,4545,3.5131,0.0464,0.0132,Bouleau verruqueux,2005-2024,"IGN IFN donnees brutes 2005-2024, Licence Ouverte Etalab v2.0 ; VEGET5==6 (coupe vidange) / 5 ans"
greco,,A,13G,4,4545,22.6018,0.0199,9e-04,Aulne glutineux,2005-2024,"IGN IFN donnees brutes 2005-2024, Licence Ouverte Etalab v2.0 ; VEGET5==6 (coupe vidange) / 5 ans"
greco,,A,14,5,4545,7.8994,0.0087,0.0011,Robinier faux acacia,2005-2024,"IGN IFN donnees brutes 2005-2024, Licence Ouverte Etalab v2.0 ; VEGET5==6 (coupe vidange) / 5 ans"
greco,,A,15S,6,4545,3.7819,0.005,0.0013,Érable sycomore,2005-2024,"IGN IFN donnees brutes 2005-2024, Licence Ouverte Etalab v2.0 ; VEGET5==6 (coupe vidange) / 5 ans"
greco,,A,17C,17,4545,6.1619,0.023,0.0037,Frêne commun,2005-2024,"IGN IFN donnees brutes 2005-2024, Licence Ouverte Etalab v2.0 ; VEGET5==6 (coupe vidange) / 5 ans"
