doc_id,title,author,publisher,pub_date,lang,doc_type,source_url,license,license_commercial_ok,family_codes,profile_codes,ingest_strategy,local_path,status,notes
bontemps_2007_rvt_hetre,Croissance en hauteur dominante du hetre dans le Nord de la France,J.-D. Bontemps & al.,Rendez-Vous Techniques ONF,2007-01-01,fr,paper,https://hal.science/hal-00823732,HAL,FALSE,P2,gestionnaire_onf|technicien|chercheur,full,data-raw/references/Bontemps_al_2007_RVT_archiveHAL.pdf,cleared,PDF local present - verifier licence depot HAL
bontemps_2009_forsci,Long-term changes in forest productivity,J.-D. Bontemps & al.,Forest Science,2009-01-01,en,paper,https://hal.science/hal-00873977,HAL,FALSE,P2|C,chercheur,full,data-raw/references/Bontemps_al_2009_ForSci_HAL.pdf,cleared,PDF local present - verifier licence depot HAL
bontemps_2006_these,Evolution de la productivite des peuplements de hetre et chene,J.-D. Bontemps,AgroParisTech (these),2006-01-01,fr,report,https://pastel.hal.science/pastel-00761239,HAL,FALSE,P2,chercheur,full,data-raw/references/TheseJDB_pourDiffusion_v1.pdf,cleared,PDF local present - these HAL
charru_2012,Productivite forestiere - analyse IFN,M. Charru & al.,Annals of Forest Science,2012-01-01,en,paper,,HAL,FALSE,C1|P,chercheur,full,data-raw/references/25219_CHARRU_2012_finale.pdf,cleared,PDF local present - allometrie H0/Dg (calibration synthetic inventory)
charru_2017_annals,Recent growth changes in Western European forests,M. Charru & al.,Annals of Forest Science 74:33,2017-01-01,en,paper,https://hal.science/hal-01573238,HAL,FALSE,C1|P|T,chercheur,full,data-raw/references/2017_Charru_Annals of Forest Science_1.pdf,cleared,PDF local present - climat/croissance
hal_00930719,HAL - productivite forestiere,,HAL,,fr,paper,https://hal.science/hal-00930719,HAL,FALSE,C|P,chercheur,full,data-raw/references/hal-00930719.pdf,cleared,PDF local present - identifier titre exact
set_revue_foret_croissance_climat,"Foret, croissance et changement climatique",,SET (revue),,fr,paper,,CC-BY,TRUE,C|T|R,gestionnaire_onf|chercheur,full,data-raw/references/set-revue-foret-croissance-changement-climat.pdf,cleared,PDF local present - revue SET ; licence ouverte/CC-BY confirmee par Pascal 2026-06-02 (D5) - confirmer la variante exacte (CC-BY vs CC-BY-NC) avant usage commercial
bernard_doridant_2024_fordead,Methode FORDEAD - analyse de la validite des detections,Bernard & Doridant,ONF/DSF,2024-01-01,fr,report,,LO-Etalab,TRUE,R5,gestionnaire_onf|technicien|chercheur,link_only,,cleared,Spec 008 source - garde-fous R5 ; Licence Ouverte confirmee par Pascal 2026-06-02 (D5) - attacher le PDF/URL DSF pour ingestion
mouret_2022_fordead,Methode FORDEAD (papier methode),Mouret & al.,,2022-01-01,en,paper,,copyright,FALSE,R5,chercheur,abstract_only,,cleared,"Copyright presume - lien-seul + abstract ; cleared (override D5, 2026-06-13)"
duplat_tranha_1997,Modelisation de la croissance en hauteur dominante du chene sessile,Duplat P. & Tran-Ha M.,Annales des Sciences Forestieres 54(7),1997-01-01,fr,paper,https://hal.science/hal-00883174,autorisation-explicite,FALSE,P2,gestionnaire_onf|technicien,full,data-raw/references/Duplat_TranHa_1997.pdf,cleared,Autorisation M. Tran-Ha acquise spec 005 - mentionner dans inst/NOTICE ; PDF EDP afs-journal (open archive)
