"species","age","class_1","class_2","class_3","class_4","class_5"
"QUPE",10,3.33,2.98,2.54,2.11,1.76
"QUPE",15,5.66,5.07,4.32,3.58,2.98
"QUPE",20,8.07,7.22,6.16,5.1,4.25
"QUPE",25,10.46,9.36,7.98,6.6,5.5
"QUPE",30,12.76,11.42,9.74,8.06,6.72
"QUPE",35,14.95,13.38,11.41,9.44,7.87
"QUPE",40,17.01,15.22,12.98,10.74,8.95
"QUPE",45,18.93,16.94,14.45,11.96,9.96
"QUPE",50,20.71,18.53,15.8,13.08,10.9
"QUPE",55,22.34,19.99,17.05,14.11,11.76
"QUPE",60,23.84,21.33,18.19,15.06,12.55
"QUPE",65,25.21,22.56,19.24,15.92,13.27
"QUPE",70,26.46,23.68,20.19,16.71,13.93
"QUPE",75,27.6,24.69,21.06,17.43,14.52
"QUPE",80,28.63,25.61,21.85,18.08,15.07
"QUPE",85,29.56,26.45,22.56,18.67,15.56
"QUPE",90,30.41,27.21,23.21,19.21,16
"QUPE",95,31.17,27.89,23.79,19.69,16.41
"QUPE",100,31.86,28.51,24.32,20.12,16.77
"QUPE",105,32.48,29.07,24.79,20.52,17.1
"QUPE",110,33.05,29.57,25.22,20.87,17.39
"QUPE",115,33.55,30.02,25.6,21.19,17.66
"QUPE",120,34.01,30.43,25.95,21.48,17.9
"QUPE",125,34.41,30.79,26.26,21.74,18.11
"QUPE",130,34.78,31.12,26.54,21.97,18.31
"QUPE",135,35.11,31.42,26.8,22.18,18.48
"QUPE",140,35.41,31.68,27.02,22.36,18.64
"QUPE",145,35.68,31.92,27.23,22.53,18.78
"QUPE",150,35.92,32.14,27.41,22.68,18.9
"QURO",10,2.78,2.47,2.08,1.7,1.39
"QURO",15,4.75,4.22,3.56,2.9,2.38
"QURO",20,6.81,6.06,5.11,4.16,3.41
"QURO",25,8.89,7.9,6.66,5.43,4.44
"QURO",30,10.91,9.7,8.18,6.67,5.46
"QURO",35,12.86,11.43,9.64,7.86,6.43
"QURO",40,14.71,13.08,11.03,8.99,7.36
"QURO",45,16.46,14.63,12.34,10.06,8.23
