rpf_code,rpf_name,wrb_code,fertility_class,fertility_score,texture_dom,drainage,depth_cm,ph_range,forest_note,source_biblio,notes
BRUN_EUT,"BRUNISOL EUTRIQUE",Eutric Cambisol,4,75,limono-argileuse,bon,90,"6.5-7.5","bon pour feuillus nobles (hêtre, chêne sessile), douglas","AFES 2008 RP ch.4; Baize-Jabiol 1995 p.142",""
BRUN_MES,"BRUNISOL MESOTRIQUE","Haplic Cambisol (Eutric)",4,75,limoneuse,bon,80,"5.5-6.5","polyvalent feuillus-résineux, base forestière française","AFES 2008 RP ch.4; Duchaufour 2001 p.168",""
BRUN_DYS,"BRUNISOL DYSTRIQUE",Dystric Cambisol,2,35,"limono-sableuse","moyen à bon",60,"4.5-5.5","dominante conifères (épicéa, sapin), feuillus acidiphiles","AFES 2008 RP ch.4; Jabiol 2009 p.88",""
BRUN_OLI,"BRUNISOL OLIGO-SATURE","Dystric Cambisol (Humic)",2,35,limoneuse,moyen,60,"4.0-5.0","station pauvre, productivité médiocre sauf pin sylvestre","AFES 2008 RP ch.4",""
BRUN_HUM,"BRUNISOL HUMIQUE","Humic Cambisol",3,55,limoneuse,bon,70,"5.0-6.0","d'altitude, hêtre-sapin-épicéa, bonne station de montagne","AFES 2008 RP ch.4; Duchaufour 2001 p.174",""
BRUN_HYD,"BRUNISOL REDOXIQUE","Gleyic Cambisol",3,55,"limono-argileuse","moyen à déficient",60,"5.5-6.5","hydromorphie temporaire, chêne pédonculé, frêne","AFES 2008 RP ch.8",""
LUV_TYP,"LUVISOL TYPIQUE",Haplic Luvisol,4,75,"limono-argileuse",bon,100,"5.5-6.5","excellent pour chêne sessile, hêtre, douglas","AFES 2008 RP ch.5; Baize-Jabiol 1995 p.148",""
LUV_DEG,"LUVISOL DEGRADE","Stagnic Luvisol",3,55,"limoneuse à limono-argileuse","moyen",90,"4.5-5.5","acidification superficielle, productivité moyenne","AFES 2008 RP ch.5",""
LUV_HYD,"LUVISOL REDOXIQUE","Stagnic Luvisol (Gleyic)",3,55,limoneuse,déficient,80,"5.0-6.0","station humide, chêne pédonculé, aulne","AFES 2008 RP ch.8",""
LUV_DYS,"LUVISOL DYSTRIQUE","Dystric Luvisol",2,35,"limono-sableuse","moyen à bon",80,"4.0-5.0","lessivé acide, pin sylvestre, chêne sessile","AFES 2008 RP ch.5",""
LUV_ALB,"LUVISOL ALBIQUE","Albic Luvisol",2,35,"limono-sableuse","déficient",80,"4.5-5.5","horizon blanchi E marqué, pauvre, résineux acidiphiles","AFES 2008 RP ch.5",""
POD_HUM,"PODZOSOL HUMIQUE",Carbic Podzol,1,15,sableuse,bon,70,"3.5-4.5","landes à éricacées, pin maritime, épicéa","AFES 2008 RP ch.6; Duchaufour 2001 p.195",""
POD_OCR,"PODZOSOL OCRIQUE","Haplic Podzol",2,35,"sableuse à limono-sableuse",bon,70,"4.0-4.5","pin sylvestre, chêne sessile pauvre","AFES 2008 RP ch.6",""
POD_MEU,"PODZOSOL MEUBLE","Entic Podzol",2,35,sableuse,bon,80,"4.0-5.0","évolution podzolique amorcée, pin maritime","AFES 2008 RP ch.6",""
POD_DUR,"PODZOSOL DURIQUE","Placic Podzol",1,15,sableuse,"déficient (alios)",50,"3.5-4.5","alios à faible profondeur, production très limitée","AFES 2008 RP ch.6","landes de Gascogne"
ALO_TYP,"ALOCRISOL TYPIQUE","Umbric Cambisol",2,35,limoneuse,bon,60,"4.0-5.0","d'altitude désaturé, hêtre-sapin limité, épicéa","AFES 2008 RP ch.4; Bonneau 1995",""
ALO_HUM,"ALOCRISOL HUMIQUE","Humic Umbric Cambisol",2,35,limoneuse,bon,70,"4.0-4.8","montagnard humifère, pessière, sapinière acide","AFES 2008 RP ch.4",""
ALO_LEP,"ALOCRISOL LEPTIQUE","Leptic Umbric Cambisol",1,15,"limono-caillouteuse","bon à excessif",30,"4.0-4.8","superficiel d'altitude, production faible","AFES 2008 RP ch.4",""
CAL_TYP,"CALCOSOL TYPIQUE",Calcaric Cambisol,4,75,"limono-argileuse calcaire",bon,70,"7.0-8.0","chêne pubescent, érable, tilleul, hêtre calcicole","AFES 2008 RP ch.7; Baize-Jabiol 1995 p.155",""
CAL_PRO,"CALCOSOL PROFOND","Calcaric Cambisol (Hypercalcaric)",5,90,"argilo-limoneuse",bon,120,"7.0-8.0","très fertile, merisier, frêne, noyer, chênes nobles","AFES 2008 RP ch.7",""
CAL_CAI,"CALCOSOL CAILLOUTEUX","Skeletic Calcaric Cambisol",3,55,"limono-caillouteuse","bon à excessif",40,"7.5-8.2","superficiel, chêne pubescent, pin noir","AFES 2008 RP ch.7",""
CAL_RED,"CALCOSOL REDOXIQUE","Gleyic Calcaric Cambisol",3,55,"argilo-limoneuse",déficient,80,"7.0-7.8","engorgement temporaire, frêne, aulne, peuplier","AFES 2008 RP ch.8",""
CAL_COL,"CALCOSOL COLLUVIAL","Colluvic Calcaric Cambisol",5,90,"limono-argileuse",bon,140,"7.0-8.0","accumulation colluviale calcaire, merisier, frêne","AFES 2008 RP ch.7",""
CAS_TYP,"CALCISOL TYPIQUE","Haplic Calcisol",4,75,"limono-argileuse",bon,80,"6.5-7.5","décarbonaté en surface, chêne sessile, hêtre","AFES 2008 RP ch.7",""
CAS_HYD,"CALCISOL REDOXIQUE","Gleyic Calcisol",3,55,"argilo-limoneuse",déficient,70,"6.8-7.5","engorgement, frêne, peuplier","AFES 2008 RP ch.8",""
CAS_ROU,"CALCISOL ROUGE","Rhodic Calcisol",4,75,argileuse,bon,90,"6.5-7.3","terra rossa méridionale, pin d'Alep, chêne vert","AFES 2008 RP ch.7",""
FLU_TYP,"FLUVIOSOL TYPIQUE",Fluvic Cambisol,5,90,"limono-sableuse","bon à moyen",120,"6.0-7.5","alluvions fertiles, peuplier, frêne, aulne, noyer","AFES 2008 RP ch.13; Baize-Jabiol 1995 p.162",""
FLU_BRU,"FLUVIOSOL BRUT",Haplic Fluvisol,4,75,"sableuse à limoneuse",bon,100,"6.5-7.5","alluvions récentes peu évoluées, peuplier-saule","AFES 2008 RP ch.13",""
FLU_HYD,"FLUVIOSOL REDUCTIQUE","Gleyic Fluvisol",4,75,"limono-argileuse","déficient permanent",100,"6.0-7.0","nappe alluviale permanente, aulne, peuplier","AFES 2008 RP ch.13",""
FLU_CAL,"FLUVIOSOL CALCAIRE","Calcaric Fluvisol",5,90,"limono-argileuse calcaire",bon,120,"7.5-8.2","alluvions calcaires riches, merisier, frêne","AFES 2008 RP ch.13",""
COL_TYP,COLLUVIOSOL,"Colluvic Regosol",5,90,"limoneuse à limono-argileuse",bon,130,"5.5-7.5","accumulation de bas de versant, très productif","AFES 2008 RP ch.14",""
COL_CAL,"COLLUVIOSOL CALCAIRE","Calcaric Colluvic Regosol",5,90,"limono-argileuse",bon,150,"7.0-8.0","colluvions calcaires profondes, haute fertilité","AFES 2008 RP ch.14",""
RAN_LIT,"RANKOSOL LITHIQUE","Lithic Leptosol",1,15,"caillouteuse à limono-sableuse","excessif",20,"4.0-5.5","très superficiel sur roche acide, pin sylvestre chétif","AFES 2008 RP ch.11",""
RAN_OCR,"RANKOSOL OCRIQUE","Leptic Regosol",2,35,"limono-sableuse","bon à excessif",30,"4.5-5.5","superficiel acide, station limite, pin","AFES 2008 RP ch.11",""
RAN_HUM,"RANKOSOL HUMIQUE","Humic Leptosol",2,35,"limono-caillouteuse",bon,40,"4.5-5.5","d'altitude humifère superficiel, hêtraie chétive","AFES 2008 RP ch.11",""
ARE_TYP,"ARENOSOL TYPIQUE",Haplic Arenosol,1,15,sableuse,"bon à excessif",80,"4.5-5.5","sables pauvres, pin maritime, pin sylvestre","AFES 2008 RP ch.12",""
ARE_POD,"ARENOSOL PODZOSOLIQUE","Albic Arenosol",1,15,sableuse,"bon à excessif",80,"3.8-4.5","évolution podzolique, landes, pin maritime","AFES 2008 RP ch.12",""
ARE_HUM,"ARENOSOL HUMIQUE","Humic Arenosol",2,35,sableuse,bon,80,"4.0-5.0","sables humifères, pin, chêne liège méditerranéen","AFES 2008 RP ch.12",""
RDX_TYP,"REDOXISOL TYPIQUE","Stagnic Gleysol",3,55,"argilo-limoneuse","déficient temporaire",60,"5.0-6.5","pseudogley, chêne pédonculé, frêne, charme","AFES 2008 RP ch.8",""
RDX_LUV,"REDOXISOL LUVIQUE","Stagnic Luvic Gleysol",3,55,"limono-argileuse","déficient temporaire",70,"5.5-6.5","lessivé hydromorphe, chênaie-charmaie humide","AFES 2008 RP ch.8",""
RDX_DYS,"REDOXISOL DYSTRIQUE","Dystric Stagnic Gleysol",2,35,limoneuse,"déficient temporaire",60,"4.5-5.5","acide engorgé, molinaie, pin sylvestre marginal","AFES 2008 RP ch.8",""
RDS_TYP,"REDUCTISOL TYPIQUE",Haplic Gleysol,2,35,"argilo-limoneuse","déficient permanent",50,"5.5-6.5","nappe permanente, aulne glutineux, saule","AFES 2008 RP ch.9",""
RDS_HIS,"REDUCTISOL HISTIQUE","Histic Gleysol",1,15,"organo-minérale","déficient permanent",40,"4.5-5.5","couche tourbeuse superficielle, aulnaie, bétulaie","AFES 2008 RP ch.9",""
RDS_TAC,"REDUCTISOL TOURBEUX ACIDE","Histic Gleysol (Dystric)",1,15,tourbeuse,"déficient permanent",40,"3.8-4.5","tourbière acide, bétulaie à sphaignes, improductif","AFES 2008 RP ch.9; ch.15",""
PEY_TYP,"PEYROSOL TYPIQUE","Skeletic Regosol",2,35,caillouteuse,"bon à excessif",30,"5.5-6.5","sol caillouteux, pin sylvestre, chêne pubescent","AFES 2008 RP ch.10",""
PEY_CAL,"PEYROSOL CALCAIRE","Calcaric Skeletic Regosol",3,55,"caillouteuse calcaire","bon à excessif",35,"7.5-8.2","pierriers calcaires, chêne pubescent, érable","AFES 2008 RP ch.10",""
PEY_HUM,"PEYROSOL HUMIFERE","Humic Skeletic Regosol",2,35,"caillouteuse humifère",bon,40,"5.0-6.0","pierriers humifères d'altitude, hêtraie-sapinière","AFES 2008 RP ch.10",""
ORG_HIS,"ORGANOSOL HISTIQUE",Sapric Histosol,1,15,tourbeuse,"déficient permanent",100,"3.8-5.0","tourbe saprique, bétulaie pubescente, improductif","AFES 2008 RP ch.15",""
ORG_INS,"ORGANOSOL INSATURE","Fibric Histosol",1,15,tourbeuse,"déficient permanent",100,"3.5-4.5","tourbe acide à sphaignes, bétulaie clairsemée","AFES 2008 RP ch.15",""
ORG_DRA,"ORGANOSOL DRAINE","Drained Histosol",2,35,"organo-minérale",moyen,80,"4.5-5.5","tourbe drainée par l'homme, peuplier, épicéa","AFES 2008 RP ch.15","drainage peut s'inverser"
LIT_TYP,LITHOSOL,"Lithic Leptosol",1,15,"caillouteuse à rocheuse","excessif",10,"variable","affleurement rocheux, quasi-improductif","AFES 2008 RP ch.11",""
REG_TYP,REGOSOL,"Haplic Regosol",1,15,"limoneuse à caillouteuse","bon à excessif",20,"variable","sol jeune peu évolué, pionnier, érodé","AFES 2008 RP ch.11",""
ANT_CON,"ANTHROPOSOL CONSTRUCTIF","Technic Anthrosol",2,35,"variable","variable",variable,"variable","sol artificiel, remblais, productivité imprévisible","AFES 2008 RP ch.16","exclusion forestière possible"
ANT_TRA,"ANTHROPOSOL TRANSFORME","Cumulic Anthrosol",3,55,"variable",bon,"variable","variable","sol cultivé de longue date, bon potentiel forestier","AFES 2008 RP ch.16",""
