"rpf_code","n_sites","cec_median","cec_q25","cec_q75","observed_score","expert_score","delta","flag_outlier"
"ALO_HUM",22,5.83,5.15,6.69,19.4,35,-15.6,FALSE
"ALO_LEP",4,4.87,4.49,5.75,16.2,15,1.2,FALSE
"ALO_TYP",92,4.58,3.72,6.1,15.3,35,-19.7,FALSE
"ANT_CON",1,16.08,16.08,16.08,53.6,35,18.6,FALSE
"ANT_TRA",6,12.03,7.96,17.1,40.1,55,-14.9,FALSE
"ARE_TYP",14,3.06,1.49,4.25,10.2,15,-4.8,FALSE
"BRUN_DYS",9,5.44,4.23,7.37,18.1,35,-16.9,FALSE
"BRUN_EUT",9,8.89,6.61,13.09,29.6,75,-45.4,TRUE
"BRUN_HUM",6,7.26,5,7.41,24.2,55,-30.8,TRUE
"BRUN_HYD",95,10.5,6.9,15.2,35,55,-20,FALSE
"BRUN_MES",378,7.86,5.88,11.89,26.2,75,-48.8,TRUE
"BRUN_OLI",58,4.88,3.74,7.02,16.3,35,-18.7,FALSE
"CAL_CAI",179,24.6,18.55,33.75,82,55,27,TRUE
"CAL_COL",25,23.3,13.8,25.8,77.7,90,-12.3,FALSE
"CAL_PRO",13,21.9,17,31.1,73,90,-17,FALSE
"CAL_RED",18,21.5,14.15,31.38,71.7,55,16.7,FALSE
"CAL_TYP",192,24,17.48,30.65,80,75,5,FALSE
"CAS_HYD",9,15.2,10.7,19.5,50.7,55,-4.3,FALSE
"CAS_ROU",2,15.49,11.18,19.79,51.6,75,-23.4,TRUE
"CAS_TYP",115,21.87,16.6,27.55,72.9,75,-2.09999999999999,FALSE
"COL_CAL",26,20.62,15.12,25.12,68.7,90,-21.3,TRUE
"COL_TYP",63,10.6,7.54,15.25,35.3,90,-54.7,TRUE
"FLU_CAL",15,17.26,15.8,23.5,57.5,90,-32.5,TRUE
"FLU_HYD",7,17,10.76,19.06,56.7,75,-18.3,FALSE
"FLU_TYP",54,13.79,8.29,21.43,46,90,-44,TRUE
"LIT_TYP",8,31.95,25.3,35.48,100,15,85,TRUE
"LUV_DEG",22,7.42,5.77,8.48,24.7,55,-30.3,TRUE
"LUV_DYS",2,3.68,2.91,4.46,12.3,35,-22.7,TRUE
"LUV_HYD",192,6.17,4.37,10.12,20.6,55,-34.4,TRUE
"LUV_TYP",159,7.43,5.11,11.3,24.8,75,-50.2,TRUE
"ORG_INS",4,23.99,7.07,43.92,80,15,65,TRUE
"PEY_CAL",3,25.2,18.7,36.9,84,55,29,TRUE
"PEY_HUM",1,10.4,10.4,10.4,34.7,35,-0.299999999999997,FALSE
"PEY_TYP",6,7.69,4.73,10.32,25.6,35,-9.4,FALSE
"POD_DUR",18,2.17,1.36,2.75,7.2,15,-7.8,FALSE
"POD_HUM",3,9.46,7.93,9.88,31.5,15,16.5,FALSE
"POD_MEU",24,1.79,1.38,3.19,6,35,-29,TRUE
"POD_OCR",16,2.72,2.26,5.74,9.1,35,-25.9,TRUE
"RAN_HUM",1,6.7,6.7,6.7,22.3,35,-12.7,FALSE
"RAN_LIT",3,8.5,8.16,11.85,28.3,15,13.3,FALSE
"RAN_OCR",71,6.53,5.13,10.3,21.8,35,-13.2,FALSE
"RDS_TYP",35,19.3,6.26,36.4,64.3,35,29.3,TRUE
"RDX_LUV",13,20.2,8.28,37.2,67.3,55,12.3,FALSE
"RDX_TYP",41,9.14,6.68,14.3,30.5,55,-24.5,TRUE
"REG_TYP",3,8.42,4.46,12.01,28.1,15,13.1,FALSE
